location_name,year,age_group,sex_name,val_total,val_hbm,percent_hbm,percent_change_from_2015,disease,percent_hbm_2015
Brazil,2015.0,40 and above,Female,42867.05890499648,4474.098695054659,10.437148732247572,0.0,Alzheimers,
Brazil,2015.0,40 and above,Male,23705.034572989145,2066.6364949670524,8.718133224415942,0.0,Alzheimers,
Brazil,2016.0,40 and above,Female,44782.839527320146,4724.616306571929,10.550059702421589,1.081818158106312,Alzheimers,
Brazil,2016.0,40 and above,Male,24637.98548124171,2193.044983359759,8.901072634487296,2.09837823490716,Alzheimers,
Brazil,2017.0,40 and above,Female,46479.481327280206,4957.392038890608,10.665764542387365,2.1904048318621796,Alzheimers,
Brazil,2017.0,40 and above,Male,25479.538939229053,2314.1998732770726,9.082581434446846,4.180346877588806,Alzheimers,
Brazil,2018.0,40 and above,Female,48348.15113845926,5215.247708934536,10.78686068883819,3.3506464798198876,Alzheimers,
Brazil,2018.0,40 and above,Male,26442.405658649885,2449.673945804975,9.264187144801758,6.26342711598558,Alzheimers,
Brazil,2019.0,40 and above,Female,50437.14820257391,5493.507420189632,10.891788326583637,4.355975046435516,Alzheimers,
Brazil,2019.0,40 and above,Male,27502.628920451934,2594.7423487725023,9.434524809528153,8.217258978170804,Alzheimers,
Brazil,2020.0,40 and above,Female,52120.95034934195,5746.450627561508,11.025222274432414,5.634427153154161,Alzheimers,
Brazil,2020.0,40 and above,Male,28374.084855684312,2733.6063523151174,9.634165705145136,10.507209022268214,Alzheimers,
Brazil,2021.0,40 and above,Female,53679.77764735127,5995.638718180841,11.169268914579204,7.014561170998809,Alzheimers,
Brazil,2021.0,40 and above,Male,28971.71775020336,2846.0630248376287,9.82359088741865,12.679981305020338,Alzheimers,
Global,2015.0,40 and above,Female,1294236.5115928438,94410.77314367106,7.294707906785735,0.0,Alzheimers,
Global,2015.0,40 and above,Male,659158.7145054323,38277.03320589176,5.80695246282393,0.0,Alzheimers,
Global,2016.0,40 and above,Female,1344397.4739408705,99410.12359705924,7.394399760783211,1.3666325680393494,Alzheimers,
Global,2016.0,40 and above,Male,684600.3512178257,40519.62724469761,5.918727206700644,1.9248434457195016,Alzheimers,
Global,2017.0,40 and above,Female,1393438.8982631527,104654.1089471291,7.510491423597754,2.958083031827653,Alzheimers,
Global,2017.0,40 and above,Male,712352.4527353526,42891.94612926965,6.021169150828279,3.688969203308668,Alzheimers,
Global,2018.0,40 and above,Female,1443039.1317287255,109911.6864092311,7.616680933493438,4.413789158140171,Alzheimers,
Global,2018.0,40 and above,Male,740463.3659633964,45358.90417363097,6.125745885431584,5.4898576258126335,Alzheimers,
Global,2019.0,40 and above,Female,1492164.8796026194,115420.40271074403,7.735097125559061,6.037105589432352,Alzheimers,
Global,2019.0,40 and above,Male,770256.2120089147,47897.16575107305,6.218342027538067,7.084431418163825,Alzheimers,
Global,2020.0,40 and above,Female,1538093.1760603325,120654.37689193292,7.844412729336509,7.535665986562987,Alzheimers,
Global,2020.0,40 and above,Male,794199.802271809,50267.41080938314,6.329315452559064,8.995475562772356,Alzheimers,
