measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,rei_id,rei_name,metric_id,metric_name,year,val,upper,lower
1,Deaths,102,United States of America,1,Male,11,30-34 years,493,Ischemic heart disease,108,High body-mass index,1,Number,2015,213.67453188495756,320.37332750337504,93.43000875027636
1,Deaths,102,United States of America,2,Female,11,30-34 years,493,Ischemic heart disease,108,High body-mass index,1,Number,2015,80.38908788711612,121.013733104972,34.26466242307804
1,Deaths,102,United States of America,1,Male,11,30-34 years,493,Ischemic heart disease,108,High body-mass index,2,Percent,2015,0.312237706355062,0.4692216045769553,0.1383062148216614
1,Deaths,102,United States of America,2,Female,11,30-34 years,493,Ischemic heart disease,108,High body-mass index,2,Percent,2015,0.3173167896128807,0.4747873383031595,0.1375135916800905
1,Deaths,102,United States of America,1,Male,11,30-34 years,493,Ischemic heart disease,108,High body-mass index,3,Rate,2015,1.9685636493599998,2.95156975978,0.86076200735
1,Deaths,102,United States of America,2,Female,11,30-34 years,493,Ischemic heart disease,108,High body-mass index,3,Rate,2015,0.74166311628,1.11646275342,0.31612295871
1,Deaths,102,United States of America,1,Male,11,30-34 years,493,Ischemic heart disease,108,High body-mass index,1,Number,2016,220.0468844689486,326.1951600360986,95.66688058303362
1,Deaths,102,United States of America,2,Female,11,30-34 years,493,Ischemic heart disease,108,High body-mass index,1,Number,2016,78.83401898289739,117.29136785860926,33.626762279524165
1,Deaths,102,United States of America,1,Male,11,30-34 years,493,Ischemic heart disease,108,High body-mass index,2,Percent,2016,0.3130267772312499,0.4701795822559899,0.1387462064971832
1,Deaths,102,United States of America,2,Female,11,30-34 years,493,Ischemic heart disease,108,High body-mass index,2,Percent,2016,0.31858227450851,0.4758259241010766,0.1377546926091833
1,Deaths,102,United States of America,1,Male,11,30-34 years,493,Ischemic heart disease,108,High body-mass index,3,Rate,2016,2.01676436205,2.9896300300800003,0.8768020317699999
1,Deaths,102,United States of America,2,Female,11,30-34 years,493,Ischemic heart disease,108,High body-mass index,3,Rate,2016,0.7241409262599999,1.07739629235,0.30888333613
1,Deaths,102,United States of America,1,Male,11,30-34 years,493,Ischemic heart disease,108,High body-mass index,1,Number,2017,219.8638532998884,323.4373291473278,95.68399039269478
1,Deaths,102,United States of America,2,Female,11,30-34 years,493,Ischemic heart disease,108,High body-mass index,1,Number,2017,77.38401055234341,114.73400287878636,32.96209836974724
1,Deaths,102,United States of America,1,Male,11,30-34 years,493,Ischemic heart disease,108,High body-mass index,2,Percent,2017,0.3148397133140611,0.4701572133981885,0.139168921866578
1,Deaths,102,United States of America,2,Female,11,30-34 years,493,Ischemic heart disease,108,High body-mass index,2,Percent,2017,0.3207527153336257,0.4777498233753984,0.1392923518345565
1,Deaths,102,United States of America,1,Male,11,30-34 years,493,Ischemic heart disease,108,High body-mass index,3,Rate,2017,2.00430188926,2.9484885311399998,0.87226526706
1,Deaths,102,United States of America,2,Female,11,30-34 years,493,Ischemic heart disease,108,High body-mass index,3,Rate,2017,0.70745843985,1.0489187378,0.30134538803
1,Deaths,102,United States of America,1,Male,11,30-34 years,493,Ischemic heart disease,108,High body-mass index,1,Number,2018,210.3085437781736,310.494571934097,92.30966750714704
1,Deaths,102,United States of America,2,Female,11,30-34 years,493,Ischemic heart disease,108,High body-mass index,1,Number,2018,74.80978344294935,109.2048816045442,32.16576596196381
1,Deaths,102,United States of America,1,Male,11,30-34 years,493,Ischemic heart disease,108,High body-mass index,2,Percent,2018,0.316720981970015,0.4748726924101424,0.1399779248743871
1,Deaths,102,United States of America,2,Female,11,30-34 years,493,Ischemic heart disease,108,High body-mass index,2,Percent,2018,0.3231467787772583,0.4793557520455497,0.1410845819587933
1,Deaths,102,United States of America,1,Male,11,30-34 years,493,Ischemic heart disease,108,High body-mass index,3,Rate,2018,1.90334256318,2.8100500520900002,0.8354245434
1,Deaths,102,United States of America,2,Female,11,30-34 years,493,Ischemic heart disease,108,High body-mass index,3,Rate,2018,0.67912026522,0.99135761053,0.29199955548
1,Deaths,102,United States of America,1,Male,11,30-34 years,493,Ischemic heart disease,108,High body-mass index,1,Number,2019,205.02367539038983,302.2610188610571,90.44562461668262
1,Deaths,102,United States of America,2,Female,11,30-34 years,493,Ischemic heart disease,108,High body-mass index,1,Number,2019,74.19089836488894,108.25857771726264,32.113044723522464
1,Deaths,102,United States of America,1,Male,11,30-34 years,493,Ischemic heart disease,108,High body-mass index,2,Percent,2019,0.3183920473578809,0.4765364649213082,0.140810419805238
1,Deaths,102,United States of America,2,Female,11,30-34 years,493,Ischemic heart disease,108,High body-mass index,2,Percent,2019,0.325495487198399,0.4791654300331299,0.1430098643784981
1,Deaths,102,United States of America,1,Male,11,30-34 years,493,Ischemic heart disease,108,High body-mass index,3,Rate,2019,1.8313046124199999,2.69984428355,0.8078749403900001
1,Deaths,102,United States of America,2,Female,11,30-34 years,493,Ischemic heart disease,108,High body-mass index,3,Rate,2019,0.6648866399,0.97019558416,0.28779182990999996
1,Deaths,102,United States of America,1,Male,11,30-34 years,493,Ischemic heart disease,108,High body-mass index,1,Number,2020,210.53944974420244,315.21140755708376,92.22268326261832
1,Deaths,102,United States of America,2,Female,11,30-34 years,493,Ischemic heart disease,108,High body-mass index,1,Number,2020,73.7982983379048,107.43746283970457,31.797032609150115
1,Deaths,102,United States of America,1,Male,11,30-34 years,493,Ischemic heart disease,108,High body-mass index,2,Percent,2020,0.3196915623060525,0.4797337910233256,0.1421151209838693
1,Deaths,102,United States of America,2,Female,11,30-34 years,493,Ischemic heart disease,108,High body-mass index,2,Percent,2020,0.3278625995022003,0.4800319844267792,0.1459739052850047
1,Deaths,102,United States of America,1,Male,11,30-34 years,493,Ischemic heart disease,108,High body-mass index,3,Rate,2020,1.85287708484,2.77405490825,0.81161652473
1,Deaths,102,United States of America,2,Female,11,30-34 years,493,Ischemic heart disease,108,High body-mass index,3,Rate,2020,0.6516668477900001,0.94871337579,0.28077980761
1,Deaths,102,United States of America,1,Male,11,30-34 years,493,Ischemic heart disease,108,High body-mass index,1,Number,2021,199.4923722336715,298.78307480686914,88.5441316247855
1,Deaths,102,United States of America,2,Female,11,30-34 years,493,Ischemic heart disease,108,High body-mass index,1,Number,2021,70.87843955221199,103.19449865364832,30.284467606408604
1,Deaths,102,United States of America,1,Male,11,30-34 years,493,Ischemic heart disease,108,High body-mass index,2,Percent,2021,0.3209434987097625,0.480429432243432,0.1421707189011716
1,Deaths,102,United States of America,2,Female,11,30-34 years,493,Ischemic heart disease,108,High body-mass index,2,Percent,2021,0.3299903810236296,0.4798477543140296,0.1486401779764115
1,Deaths,102,United States of America,1,Male,11,30-34 years,493,Ischemic heart disease,108,High body-mass index,3,Rate,2021,1.7333789468199998,2.59611074718,0.7693553989299999
1,Deaths,102,United States of America,2,Female,11,30-34 years,493,Ischemic heart disease,108,High body-mass index,3,Rate,2021,0.61770360681,0.8993371527899999,0.26392828325
1,Deaths,102,United States of America,1,Male,12,35-39 years,493,Ischemic heart disease,108,High body-mass index,1,Number,2015,449.077581655194,658.3379463905819,205.58786168221343
1,Deaths,102,United States of America,2,Female,12,35-39 years,493,Ischemic heart disease,108,High body-mass index,1,Number,2015,162.6180721911552,243.3623648939042,71.36252735628756
1,Deaths,102,United States of America,1,Male,12,35-39 years,493,Ischemic heart disease,108,High body-mass index,2,Percent,2015,0.3289019200513798,0.4848391516139816,0.1482672935962944
1,Deaths,102,United States of America,2,Female,12,35-39 years,493,Ischemic heart disease,108,High body-mass index,2,Percent,2015,0.3280955250082531,0.4856644716205789,0.146034406794853
1,Deaths,102,United States of America,1,Male,12,35-39 years,493,Ischemic heart disease,108,High body-mass index,3,Rate,2015,4.39445389026,6.44217361945,2.01178240791
1,Deaths,102,United States of America,2,Female,12,35-39 years,493,Ischemic heart disease,108,High body-mass index,3,Rate,2015,1.5778467693,2.36129057517,0.6924146358500001
1,Deaths,102,United States of America,1,Male,12,35-39 years,493,Ischemic heart disease,108,High body-mass index,1,Number,2016,470.03580644763946,690.514873007439,215.19561904597776
1,Deaths,102,United States of America,2,Female,12,35-39 years,493,Ischemic heart disease,108,High body-mass index,1,Number,2016,165.25388155254717,246.5929341855469,71.62869119595088
1,Deaths,102,United States of America,1,Male,12,35-39 years,493,Ischemic heart disease,108,High body-mass index,2,Percent,2016,0.3294062761449846,0.4841087880958528,0.1488255243001587
1,Deaths,102,United States of America,2,Female,12,35-39 years,493,Ischemic heart disease,108,High body-mass index,2,Percent,2016,0.3301533348334392,0.4909446421707792,0.146955946232372
1,Deaths,102,United States of America,1,Male,12,35-39 years,493,Ischemic heart disease,108,High body-mass index,3,Rate,2016,4.49599087906,6.604919302549999,2.05839114206
1,Deaths,102,United States of America,2,Female,12,35-39 years,493,Ischemic heart disease,108,High body-mass index,3,Rate,2016,1.56511048208,2.33546820489,0.67839142025
1,Deaths,102,United States of America,1,Male,12,35-39 years,493,Ischemic heart disease,108,High body-mass index,1,Number,2017,478.2767779620799,700.6763259440755,218.85799527771445
1,Deaths,102,United States of America,2,Female,12,35-39 years,493,Ischemic heart disease,108,High body-mass index,1,Number,2017,167.48337927760008,249.85361629454724,72.76283436074215
1,Deaths,102,United States of America,1,Male,12,35-39 years,493,Ischemic heart disease,108,High body-mass index,2,Percent,2017,0.3301978253314783,0.4838282674075194,0.1485810899732091
1,Deaths,102,United States of America,2,Female,12,35-39 years,493,Ischemic heart disease,108,High body-mass index,2,Percent,2017,0.3323718585327401,0.4930204642780113,0.1482280968855798
