measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower
1,Deaths,1,Global,1,Male,7,10-14 years,494,Stroke,1,Number,2015,1987.486251002606,2202.661071057509,1773.4894118499512
1,Deaths,1,Global,2,Female,7,10-14 years,494,Stroke,1,Number,2015,1707.9942957941398,1954.7824158375247,1450.7123568586017
1,Deaths,1,Global,1,Male,7,10-14 years,494,Stroke,2,Percent,2015,0.010170192444788088,0.011097172595865762,0.009302563754902021
1,Deaths,1,Global,2,Female,7,10-14 years,494,Stroke,2,Percent,2015,0.011324720263760994,0.012803912454816081,0.00978098205028126
1,Deaths,1,Global,1,Male,7,10-14 years,494,Stroke,3,Rate,2015,0.6215488091469176,0.6888406724722912,0.5546253371131161
1,Deaths,1,Global,2,Female,7,10-14 years,494,Stroke,3,Rate,2015,0.5708973520194787,0.6533863185163641,0.484900824968759
1,Deaths,1,Global,1,Male,9,20-24 years,494,Stroke,1,Number,2015,7910.550788792475,8592.789591990471,7283.724539664162
1,Deaths,1,Global,2,Female,9,20-24 years,494,Stroke,1,Number,2015,5526.713111039701,6125.472607767811,5000.761599857142
1,Deaths,1,Global,1,Male,9,20-24 years,494,Stroke,2,Percent,2015,0.016808022192515867,0.01800266091220445,0.015673455608561523
1,Deaths,1,Global,2,Female,9,20-24 years,494,Stroke,2,Percent,2015,0.019434003263626803,0.021069651190448884,0.017930170089916316
1,Deaths,1,Global,1,Male,9,20-24 years,494,Stroke,3,Rate,2015,2.6054814545873817,2.8301890124796443,2.3990250129365354
1,Deaths,1,Global,2,Female,9,20-24 years,494,Stroke,3,Rate,2015,1.863749313838702,2.0656663626814047,1.6863849838319784
1,Deaths,1,Global,1,Male,10,25-29 years,494,Stroke,1,Number,2015,11448.553016529542,12436.778093134571,10561.690644578432
1,Deaths,1,Global,2,Female,10,25-29 years,494,Stroke,1,Number,2015,7318.3978714675895,8090.626720283213,6647.380266103916
1,Deaths,1,Global,1,Male,10,25-29 years,494,Stroke,2,Percent,2015,0.0224815454395067,0.024327664301508834,0.020926189686534553
1,Deaths,1,Global,2,Female,10,25-29 years,494,Stroke,2,Percent,2015,0.023037366944967934,0.02503191852365662,0.021026868646923
1,Deaths,1,Global,1,Male,10,25-29 years,494,Stroke,3,Rate,2015,3.7616074246382363,4.086304771106741,3.47021443565989
1,Deaths,1,Global,2,Female,10,25-29 years,494,Stroke,3,Rate,2015,2.4225674524200445,2.6781939580865584,2.2004443266615237
1,Deaths,1,Global,1,Male,11,30-34 years,494,Stroke,1,Number,2015,20079.31606468548,21618.15872059561,18775.149853209186
1,Deaths,1,Global,2,Female,11,30-34 years,494,Stroke,1,Number,2015,11094.958699350374,12066.546212568079,10157.260931101238
1,Deaths,1,Global,1,Male,11,30-34 years,494,Stroke,2,Percent,2015,0.03380599521972659,0.03611832062351531,0.03169584956546668
1,Deaths,1,Global,2,Female,11,30-34 years,494,Stroke,2,Percent,2015,0.030908893697139134,0.03330484140276141,0.02833760982586139
1,Deaths,1,Global,1,Male,11,30-34 years,494,Stroke,3,Rate,2015,7.226730352787285,7.780573964482216,6.757348949795609
1,Deaths,1,Global,2,Female,11,30-34 years,494,Stroke,3,Rate,2015,4.037446333604298,4.391006229527677,3.6962188879655775
1,Deaths,1,Global,1,Male,12,35-39 years,494,Stroke,1,Number,2015,33320.030248185016,35924.78683651523,30725.799573660486
